id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID
App Settings:Settings:SettingsMap:Allow DownLoad,Allow DownLoad,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Allow DownLoad""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Allow DownLoad""]",static,string,,No,
App Settings:Settings:SettingsMap:Allow Others to Find Me,Allow Others to Find Me,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Allow Others to Find Me""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Allow Others to Find Me""]",static,string,,No,
App Settings:Settings:SettingsMap:App Language,App Language,"[""App Settings"", ""Settings"", ""SettingsMap"", ""App Language""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""App Language""]",static,string,,No,App Settings:Settings:SettingsMap:App Language
App Settings:Settings:SettingsMap:Filter Comments,Filter Comments,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Filter Comments""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Filter Comments""]",static,string,,No,App Settings:Settings:SettingsMap:Filter Comments
App Settings:Settings:SettingsMap:Interests,Interests,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Interests""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Interests""]",static,string,,No,App Settings:Settings:SettingsMap:Interests
App Settings:Settings:SettingsMap:Private Account,Private Account,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Private Account""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Private Account""]",static,string,,No,App Settings:Settings:SettingsMap:Private Account
App Settings:Settings:SettingsMap:Suggest your account to Facebook friends,Suggest your account to Facebook friends,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to Facebook friends""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to Facebook friends""]",static,string,,No,
App Settings:Settings:SettingsMap:Suggest your account to contacts,Suggest your account to contacts,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",static,string,,No,
App Settings:Settings:SettingsMap:Suggest your account to people who open or send links to you,Suggest your account to people who open or send links to you,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",static,string,,No,
App Settings:Settings:SettingsMap:Web Language,Web Language,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Web Language""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Web Language""]",static,string,,No,App Settings:Settings:SettingsMap:Web Language
App Settings:Settings:SettingsMap:Who Can Duet With Me,Who Can Duet With Me,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",static,string,,No,App Settings:Settings:SettingsMap:Who Can Duet With Me
App Settings:Settings:SettingsMap:Who Can Post Comments,Who Can Post Comments,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",static,string,,No,App Settings:Settings:SettingsMap:Who Can Post Comments
App Settings:Settings:SettingsMap:Who Can Send Me Message,Who Can Send Me Message,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",static,string,,No,App Settings:Settings:SettingsMap:Who Can Send Me Message
App Settings:Settings:SettingsMap:Who Can Stitch with your videos,Who Can Stitch with your videos,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",static,string,,No,App Settings:Settings:SettingsMap:Who Can Stitch with your videos
App Settings:Settings:SettingsMap:Who Can View Videos I Liked,Who Can View Videos I Liked,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",static,string,,No,App Settings:Settings:SettingsMap:Who Can View Videos I Liked
Profile:Profile Information:ProfileMap:bioDescription,bioDescription,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""bioDescription""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""bioDescription""]",static,string,,No,
Profile:Profile Information:ProfileMap:birthDate,birthDate,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""birthDate""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""birthDate""]",static,string,,No,
Profile:Profile Information:ProfileMap:emailAddress,emailAddress,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""emailAddress""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""emailAddress""]",static,string,,No,
Profile:Profile Information:ProfileMap:likesReceived,likesReceived,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""likesReceived""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""likesReceived""]",static,string,,No,Profile:Profile Information:ProfileMap:likesReceived
Profile:Profile Information:ProfileMap:profilePhoto,profilePhoto,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profilePhoto""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profilePhoto""]",static,string,,No,
Profile:Profile Information:ProfileMap:profileVideo,profileVideo,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profileVideo""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""profileVideo""]",static,string,,No,
Profile:Profile Information:ProfileMap:telephoneNumber,telephoneNumber,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""telephoneNumber""]",static,string,,No,
Profile:Profile Information:ProfileMap:userName,userName,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""userName""]",,"[""Profile"", ""Profile Information"", ""ProfileMap"", ""userName""]",static,string,,No,Profile:Profile Information:ProfileMap:userName
Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you,Allow agencies to find and invite you,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",,"[""Tiktok Live"", ""Go Live Settings"", ""SettingsMap"", ""Allow agencies to find and invite you""]",static,string,,No,Tiktok Live:Go Live Settings:SettingsMap:Allow agencies to find and invite you
