id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
message_1:reaction,reaction,"['messages', 'reactions', 'reaction']","[""messages"", ""reactions""]","""reaction""",list,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:reaction,reaction,"['messages', 'reactions', 'reaction']","[""messages"", ""reactions""]","""reaction""",list,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:actor,actor,"['messages', 'reactions', 'actor']","[""messages"", ""reactions""]","""actor""",list,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:actor,actor,"['messages', 'reactions', 'actor']","[""messages"", ""reactions""]","""actor""",list,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:timestamp,timestamp,"['messages', 'reactions', 'timestamp']","[""messages"", ""reactions""]","""timestamp""",list,number,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:timestamp,timestamp,"['messages', 'reactions', 'timestamp']","[""messages"", ""reactions""]","""timestamp""",list,number,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:share_text,share_text,"['messages', 'share', 'share_text']",,"[""messages"", ""share"", ""share_text""]",static,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:share_text,share_text,"['messages', 'share', 'share_text']",,"[""messages"", ""share"", ""share_text""]",static,string,message_1.json,your_instagram_activity/messages/message_requests/username/message_1.json,Yes
message_1:reaction,reaction,"['messages', 'reactions', 'reaction']","[""messages"", ""reactions""]","""reaction""",list,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:reaction,reaction,"['messages', 'reactions', 'reaction']","[""messages"", ""reactions""]","""reaction""",list,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:actor,actor,"['messages', 'reactions', 'actor']","[""messages"", ""reactions""]","""actor""",list,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:actor,actor,"['messages', 'reactions', 'actor']","[""messages"", ""reactions""]","""actor""",list,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:timestamp,timestamp,"['messages', 'reactions', 'timestamp']","[""messages"", ""reactions""]","""timestamp""",list,number,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:timestamp,timestamp,"['messages', 'reactions', 'timestamp']","[""messages"", ""reactions""]","""timestamp""",list,number,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:share:link,link,"['messages', 'share', 'link']",,"[""messages"", ""share"", ""link""]",static,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:share:link,link,"['messages', 'share', 'link']",,"[""messages"", ""share"", ""link""]",static,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:share_text,share_text,"['messages', 'share', 'share_text']",,"[""messages"", ""share"", ""share_text""]",static,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:share_text,share_text,"['messages', 'share', 'share_text']",,"[""messages"", ""share"", ""share_text""]",static,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,Yes
message_1:original_content_owner,original_content_owner,"['messages', 'share', 'original_content_owner']",,"[""messages"", ""share"", ""original_content_owner""]",static,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,No
message_1:photos:uri,uri,"['messages', 'photos', 'uri']","[""messages"", ""photos""]","""uri""",list,string,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,No
message_1:photos:creation_timestamp,creation_timestamp,"['messages', 'photos', 'creation_timestamp']","[""messages"", ""photos""]","""creation_timestamp""",list,number,message_1.json,your_instagram_activity/messages/inbox/username/message_1.json,No
posts_1:source_app,source_app,"['media', 'cross_post_source', 'source_app']",,"[""media"", ""cross_post_source"", ""source_app""]",static,string,posts_1.json,your_instagram_activity/media/posts_1.json,Yes
posts_1:source_app,source_app,"['media', 'cross_post_source', 'source_app']",,"[""media"", ""cross_post_source"", ""source_app""]",static,string,posts_1.json,your_instagram_activity/media/posts_1.json,Yes
