json_name,id,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag
message_1.json,message_requests:username:message_1:messages:is_unsent_image_by_messenger_kid_parent,nan,"['messages', 'is_unsent_image_by_messenger_kid_parent']",nan,nan,nan,boolean,your_instagram_activity/messages/message_requests/username/message_1.json,No
eligibility.json,monetization:eligibility:title,nan,"['monetization_eligibility', 'title']",nan,nan,nan,string,your_instagram_activity/monetization/eligibility.json,Yes
saved_posts.json,saved:saved_posts:title,nan,"['saved_saved_media', 'title']",nan,nan,nan,string,your_instagram_activity/saved/saved_posts.json,Yes
story_likes.json,story_sticker_interactions:story_likes:title,nan,"['story_activities_story_likes', 'title']",nan,nan,nan,string,your_instagram_activity/story_sticker_interactions/story_likes.json,No
show_exclusive_story_promo_setting.json,subscriptions:show_exclusive_story_promo_setting:title,nan,"['subscriptions_show_story_teaser_setting', 'title']",nan,nan,nan,string,your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json,Yes
your_muted_story_teaser_creators.json,subscriptions:your_muted_story_teaser_creators:title,nan,"['subscriptions_muted_story_teaser_creators', 'title']",nan,nan,nan,string,your_instagram_activity/subscriptions/your_muted_story_teaser_creators.json,Yes
instagram_signup_details.json,login_and_profile_creation:instagram_signup_details:title,nan,"['account_history_registration_info', 'title']",nan,nan,nan,string,security_and_login_information/login_and_profile_creation/instagram_signup_details.json,Yes
last_known_location.json,login_and_profile_creation:last_known_location:title,nan,"['account_history_imprecise_last_known_location', 'title']",nan,nan,nan,string,security_and_login_information/login_and_profile_creation/last_known_location.json,Yes
login_activity.json,login_and_profile_creation:login_activity:title,nan,"['account_history_login_history', 'title']",nan,nan,nan,string,security_and_login_information/login_and_profile_creation/login_activity.json,Yes
profile_privacy_changes.json,login_and_profile_creation:profile_privacy_changes:title,nan,"['account_history_account_privacy_history', 'title']",nan,nan,nan,string,security_and_login_information/login_and_profile_creation/profile_privacy_changes.json,Yes
comments_allowed_from.json,settings:comments_allowed_from:title,nan,"['settings_allow_comments_from', 'title']",nan,nan,nan,string,preferences/settings/comments_allowed_from.json,No
consents.json,settings:consents:ent_field_name,nan,"['label_values', 'ent_field_name']",nan,nan,nan,string,preferences/settings/consents.json,No
consents.json,settings:consents:label,nan,"['label_values', 'label']",nan,nan,nan,string,preferences/settings/consents.json,No
consents.json,settings:consents:timestamp_value,nan,"['label_values', 'timestamp_value']",nan,nan,nan,number,preferences/settings/consents.json,No
use_cross-app_messaging.json,settings:use_cross-app_messaging:title,nan,"['settings_upgraded_to_cross_app_messaging', 'title']",nan,nan,nan,string,preferences/settings/use_cross-app_messaging.json,No
locations_of_interest.json,information_about_you:locations_of_interest:ent_field_name,nan,"['label_values', 'ent_field_name']",nan,nan,nan,string,personal_information/information_about_you/locations_of_interest.json,No
locations_of_interest.json,information_about_you:locations_of_interest:label,nan,"['label_values', 'label']",nan,nan,nan,string,personal_information/information_about_you/locations_of_interest.json,No
locations_of_interest.json,information_about_you:locations_of_interest:label_values:value,nan,"['label_values', 'value']",nan,nan,nan,string,personal_information/information_about_you/locations_of_interest.json,No
profile_based_in.json,information_about_you:profile_based_in:title,nan,"['inferred_data_primary_location', 'title']",nan,nan,nan,string,personal_information/information_about_you/profile_based_in.json,No
instagram_profile_information.json,personal_information:instagram_profile_information:title,nan,"['profile_account_insights', 'title']",nan,nan,nan,string,personal_information/personal_information/instagram_profile_information.json,Yes
personal_information.json,personal_information:personal_information:profile_user:title,nan,"['profile_user', 'title']",nan,nan,nan,string,personal_information/personal_information/personal_information.json,Yes
professional_information.json,personal_information:professional_information:title,nan,"['profile_business', 'title']",nan,nan,nan,string,personal_information/personal_information/professional_information.json,Yes
profile_changes.json,personal_information:profile_changes:title,nan,"['profile_profile_change', 'title']",nan,nan,nan,string,personal_information/personal_information/profile_changes.json,Yes
blocked_profiles.json,followers_and_following:blocked_profiles:title,nan,"['relationships_blocked_users', 'title']",nan,nan,nan,string,connections/followers_and_following/blocked_profiles.json,No
following.json,followers_and_following:following:title,nan,"['relationships_following', 'title']",nan,nan,nan,string,connections/followers_and_following/following.json,Yes
following.json,followers_and_following:following:media_list_data,nan,"['relationships_following', 'media_list_data']",nan,nan,nan,array,connections/followers_and_following/following.json,Yes
your_activity_off_meta_technologies.json,apps_and_websites:your_activity_off_meta_technologies:name,nan,"['apps_and_websites_off_meta_activity', 'name']",nan,nan,nan,string,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies.json,No
your_activity_off_meta_technologies_settings.json,apps_and_websites:your_activity_off_meta_technologies_settings:ent_field_name,nan,"['label_values', 'ent_field_name']",nan,nan,nan,string,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies_settings.json,No
your_activity_off_meta_technologies_settings.json,apps_and_websites:your_activity_off_meta_technologies_settings:label,nan,"['label_values', 'label']",nan,nan,nan,string,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies_settings.json,No
your_activity_off_meta_technologies_settings.json,apps_and_websites:your_activity_off_meta_technologies_settings:value,nan,"['label_values', 'value']",nan,nan,nan,string,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies_settings.json,No
your_activity_off_meta_technologies_settings.json,apps_and_websites:your_activity_off_meta_technologies_settings:timestamp_value,nan,"['label_values', 'timestamp_value']",nan,nan,nan,number,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies_settings.json,No
your_activity_off_meta_technologies_settings.json,apps_and_websites:your_activity_off_meta_technologies_settings:dict,nan,"['label_values', 'dict']",nan,nan,nan,array,apps_and_websites_off_of_instagram/apps_and_websites/your_activity_off_meta_technologies_settings.json,No
ads_about_meta.json,instagram_ads_and_businesses:ads_about_meta:ent_field_name,nan,"['label_values', 'ent_field_name']",nan,nan,nan,string,ads_information/instagram_ads_and_businesses/ads_about_meta.json,No
ads_about_meta.json,instagram_ads_and_businesses:ads_about_meta:label,nan,"['label_values', 'label']",nan,nan,nan,string,ads_information/instagram_ads_and_businesses/ads_about_meta.json,No
ads_about_meta.json,instagram_ads_and_businesses:ads_about_meta:value,nan,"['label_values', 'value']",nan,nan,nan,string,ads_information/instagram_ads_and_businesses/ads_about_meta.json,No
ads_about_meta.json,instagram_ads_and_businesses:ads_about_meta:timestamp_value,nan,"['label_values', 'timestamp_value']",nan,nan,nan,number,ads_information/instagram_ads_and_businesses/ads_about_meta.json,No
advertisers_using_your_activity_or_information.json,instagram_ads_and_businesses:advertisers_using_your_activity_or_information:advertiser_name,nan,"['ig_custom_audiences_all_types', 'advertiser_name']",nan,nan,nan,string,ads_information/instagram_ads_and_businesses/advertisers_using_your_activity_or_information.json,No
advertisers_using_your_activity_or_information.json,instagram_ads_and_businesses:advertisers_using_your_activity_or_information:has_data_file_custom_audience,nan,"['ig_custom_audiences_all_types', 'has_data_file_custom_audience']",nan,nan,nan,boolean,ads_information/instagram_ads_and_businesses/advertisers_using_your_activity_or_information.json,No
advertisers_using_your_activity_or_information.json,instagram_ads_and_businesses:advertisers_using_your_activity_or_information:has_remarketing_custom_audience,nan,"['ig_custom_audiences_all_types', 'has_remarketing_custom_audience']",nan,nan,nan,boolean,ads_information/instagram_ads_and_businesses/advertisers_using_your_activity_or_information.json,No
advertisers_using_your_activity_or_information.json,instagram_ads_and_businesses:advertisers_using_your_activity_or_information:has_in_person_store_visit,nan,"['ig_custom_audiences_all_types', 'has_in_person_store_visit']",nan,nan,nan,boolean,ads_information/instagram_ads_and_businesses/advertisers_using_your_activity_or_information.json,No
