variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,data_type
connections/followers_and_following/following.json,"{'relationships_following': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,following.json,relationships_following,string_list_data,LIST,timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,number
connections/followers_and_following/recent_follow_requests.json,"{'relationships_permanent_follow_requests': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recent_follow_requests.json,relationships_permanent_follow_requests,title,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recent_follow_requests.json,"{'relationships_permanent_follow_requests': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recent_follow_requests.json,relationships_permanent_follow_requests,media_list_data,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
connections/followers_and_following/recent_follow_requests.json,"{'relationships_permanent_follow_requests': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recent_follow_requests.json,relationships_permanent_follow_requests,string_list_data,LIST,href,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recent_follow_requests.json,"{'relationships_permanent_follow_requests': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recent_follow_requests.json,relationships_permanent_follow_requests,string_list_data,LIST,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recent_follow_requests.json,"{'relationships_permanent_follow_requests': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recent_follow_requests.json,relationships_permanent_follow_requests,string_list_data,LIST,timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,number
connections/followers_and_following/recently_unfollowed_profiles.json,"{'relationships_unfollowed_users': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recently_unfollowed_profiles.json,relationships_unfollowed_users,title,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recently_unfollowed_profiles.json,"{'relationships_unfollowed_users': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recently_unfollowed_profiles.json,relationships_unfollowed_users,media_list_data,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
connections/followers_and_following/recently_unfollowed_profiles.json,"{'relationships_unfollowed_users': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recently_unfollowed_profiles.json,relationships_unfollowed_users,string_list_data,LIST,href,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recently_unfollowed_profiles.json,"{'relationships_unfollowed_users': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recently_unfollowed_profiles.json,relationships_unfollowed_users,string_list_data,LIST,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
connections/followers_and_following/recently_unfollowed_profiles.json,"{'relationships_unfollowed_users': [{'title': 'string', 'media_list_data': 'array', 'string_list_data': [{'href': 'string', 'value': 'string', 'timestamp': 'number'}]}]}",connections,followers_and_following,Missing,Missing,recently_unfollowed_profiles.json,relationships_unfollowed_users,string_list_data,LIST,timestamp,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,number
ads_information/instagram_ads_and_businesses/other_categories_used_to_reach_you.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",ads_information,instagram_ads_and_businesses,Missing,Missing,other_categories_used_to_reach_you.json,media,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,array
ads_information/instagram_ads_and_businesses/other_categories_used_to_reach_you.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",ads_information,instagram_ads_and_businesses,Missing,Missing,other_categories_used_to_reach_you.json,label_values,label,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
ads_information/instagram_ads_and_businesses/other_categories_used_to_reach_you.json,"{'media': 'array', 'label_values': [{'label': 'string', 'vec': [{'value': 'string'}]}], 'fbid': 'string'}",ads_information,instagram_ads_and_businesses,Missing,Missing,other_categories_used_to_reach_you.json,label_values,vec,LIST,value,LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,string
