json_name,column_name,path,list_path,subfield_path,var_type,data_type,file_path
consents.json,timestamp,['timestamp'],nan,"[""timestamp""]",static,number,preferences/media_settings/consents.json
consents.json,media,['media'],nan,"[""media""]",static,array,preferences/media_settings/consents.json
consents.json,fbid,['fbid'],nan,"[""fbid""]",static,string,preferences/media_settings/consents.json
consents.json,ent_name,['ent_name'],nan,"[""ent_name""]",static,string,preferences/media_settings/consents.json
followers_1.json,title,['title'],nan,"[""title""]",static,string,connections/followers_and_following/followers_1.json
followers_1.json,media_list_data,['media_list_data'],nan,"[""media_list_data""]",static,array,connections/followers_and_following/followers_1.json
profile_photos.json,uri,"['ig_profile_picture', 'uri']","[""ig_profile_picture""]","""uri""",list,string,your_instagram_activity/content/profile_photos.json
profile_photos.json,creation_timestamp,"['ig_profile_picture', 'creation_timestamp']","[""ig_profile_picture""]","""creation_timestamp""",list,number,your_instagram_activity/content/profile_photos.json
profile_photos.json,title,"['ig_profile_picture', 'title']","[""ig_profile_picture""]","""title""",list,string,your_instagram_activity/content/profile_photos.json
profile_photos.json,backup_uri,"['ig_profile_picture', 'backup_uri']","[""ig_profile_picture""]","""backup_uri""",list,string,your_instagram_activity/content/profile_photos.json
liked_posts.json,title,"['likes_media_likes', 'title']","[""likes_media_likes""]","""title""",list,string,your_instagram_activity/likes/liked_posts.json
secret_conversations.json,calls,"['ig_secret_conversations', 'calls']",nan,"[""ig_secret_conversations"", ""calls""]",static,array,your_instagram_activity/messages/secret_conversations.json
eligibility.json,title,"['monetization_eligibility', 'title']","[""monetization_eligibility""]","""title""",list,string,your_instagram_activity/monetization/eligibility.json
saved_posts.json,title,"['saved_saved_media', 'title']","[""saved_saved_media""]","""title""",list,string,your_instagram_activity/saved/saved_posts.json
show_exclusive_story_promo_setting.json,title,"['subscriptions_show_story_teaser_setting', 'title']","[""subscriptions_show_story_teaser_setting""]","""title""",list,string,your_instagram_activity/subscriptions/show_exclusive_story_promo_setting.json
your_muted_story_teaser_creators.json,title,"['subscriptions_muted_story_teaser_creators', 'title']","[""subscriptions_muted_story_teaser_creators""]","""title""",list,string,your_instagram_activity/subscriptions/your_muted_story_teaser_creators.json
instagram_signup_details.json,title,"['account_history_registration_info', 'title']","[""account_history_registration_info""]","""title""",list,string,security_and_login_information/login_and_profile_creation/instagram_signup_details.json
last_known_location.json,title,"['account_history_imprecise_last_known_location', 'title']","[""account_history_imprecise_last_known_location""]","""title""",list,string,security_and_login_information/login_and_profile_creation/last_known_location.json
login_activity.json,title,"['account_history_login_history', 'title']","[""account_history_login_history""]","""title""",list,string,security_and_login_information/login_and_profile_creation/login_activity.json
profile_privacy_changes.json,title,"['account_history_account_privacy_history', 'title']","[""account_history_account_privacy_history""]","""title""",list,string,security_and_login_information/login_and_profile_creation/profile_privacy_changes.json
comments_allowed_from.json,title,"['settings_allow_comments_from', 'title']","[""settings_allow_comments_from""]","""title""",list,string,preferences/media_settings/comments_allowed_from.json
consents.json,ent_field_name,"['label_values', 'ent_field_name']","[""label_values""]","""ent_field_name""",list,string,preferences/media_settings/consents.json
consents.json,label,"['label_values', 'label']","[""label_values""]","""label""",list,string,preferences/media_settings/consents.json
consents.json,timestamp_value,"['label_values', 'timestamp_value']","[""label_values""]","""timestamp_value""",list,number,preferences/media_settings/consents.json
