id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
watch-history:time,youtube_takeout/history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",youtube_takeout,history,,,watch-history.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,watch-history,Yes
watch-history:products,youtube_takeout/history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",youtube_takeout,history,,,watch-history.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,watch-history,Yes
watch-history:details:name,youtube_takeout/history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",youtube_takeout,history,,,watch-history.json,details,name,LIST,,NO LIST,,MISSING,string,"('details', 'name')","[""details"", ""name""]","""name""",name,list,watch-history,Yes
watch-history:activityControls,youtube_takeout/history/watch-history.json,"{'header': 'string', 'title': 'string', 'time': 'string', 'products': ['string'], 'details': [{'name': 'string'}], 'activityControls': ['string']}",youtube_takeout,history,,,watch-history.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,watch-history,Yes
search-history:header,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,search-history,Yes
search-history:title,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,search-history,Yes
search-history:titleUrl,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,titleUrl,,NO LIST,,MISSING,,MISSING,string,"('titleUrl',)",,"[""titleUrl""]",titleUrl,static,search-history,Yes
search-history:time,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,time,,NO LIST,,MISSING,,MISSING,string,"('time',)",,"[""time""]",time,static,search-history,Yes
search-history:products,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,products,,LIST,,MISSING,,MISSING,string,"('products',)","[""products""]","""products""",products,list,search-history,Yes
search-history:activityControls,youtube_takeout/history/search-history.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",youtube_takeout,history,,,search-history.json,activityControls,,LIST,,MISSING,,MISSING,string,"('activityControls',)","[""activityControls""]","""activityControls""",activityControls,list,search-history,Yes
istoricul căutărilor:header,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,header,,NO LIST,,MISSING,,MISSING,string,"('header',)",,"[""header""]",header,static,istoricul căutărilor,No
istoricul căutărilor:title,istoric/istoricul căutărilor.json,"{'header': 'string', 'title': 'string', 'titleUrl': 'string', 'time': 'string', 'products': ['string'], 'activityControls': ['string']}",istoric,,,,istoricul căutărilor.json,title,,NO LIST,,MISSING,,MISSING,string,"('title',)",,"[""title""]",title,static,istoricul căutărilor,No
