id,variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type,path,list_path,subfield_path,column_name,var_type,name,duplicate_flag
connected_apps_and_websites:installed_apps_v2:added_timestamp,apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,,,,connected_apps_and_websites.json,installed_apps_v2,added_timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('installed_apps_v2', 'added_timestamp')",,"[""installed_apps_v2"", ""added_timestamp""]",added_timestamp,static,connected_apps_and_websites,No
connected_apps_and_websites:installed_apps_v2:user_app_scoped_id,apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,,,,connected_apps_and_websites.json,installed_apps_v2,user_app_scoped_id,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('installed_apps_v2', 'user_app_scoped_id')",,"[""installed_apps_v2"", ""user_app_scoped_id""]",user_app_scoped_id,static,connected_apps_and_websites,No
connected_apps_and_websites:installed_apps_v2:category,apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,,,,connected_apps_and_websites.json,installed_apps_v2,category,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('installed_apps_v2', 'category')",,"[""installed_apps_v2"", ""category""]",category,static,connected_apps_and_websites,No
connected_apps_and_websites:installed_apps_v2:removed_timestamp,apps_and_websites_off_of_facebook/connected_apps_and_websites.json,"{'installed_apps_v2': [{'name': 'string', 'added_timestamp': 'number', 'user_app_scoped_id': 'number', 'category': 'string', 'removed_timestamp': 'number'}]}",apps_and_websites_off_of_facebook,,,,connected_apps_and_websites.json,installed_apps_v2,removed_timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('installed_apps_v2', 'removed_timestamp')",,"[""installed_apps_v2"", ""removed_timestamp""]",removed_timestamp,static,connected_apps_and_websites,No
ip_address_activity:used_ip_address_v2:ip,security_and_login_information/ip_address_activity.json,"{'used_ip_address_v2': [{'ip': 'string', 'action': 'string', 'timestamp': 'number', 'user_agent': 'string'}]}",security_and_login_information,,,,ip_address_activity.json,used_ip_address_v2,ip,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('used_ip_address_v2', 'ip')",,"[""used_ip_address_v2"", ""ip""]",ip,static,ip_address_activity,Yes
ip_address_activity:used_ip_address_v2:action,security_and_login_information/ip_address_activity.json,"{'used_ip_address_v2': [{'ip': 'string', 'action': 'string', 'timestamp': 'number', 'user_agent': 'string'}]}",security_and_login_information,,,,ip_address_activity.json,used_ip_address_v2,action,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('used_ip_address_v2', 'action')",,"[""used_ip_address_v2"", ""action""]",action,static,ip_address_activity,Yes
ip_address_activity:used_ip_address_v2:timestamp,security_and_login_information/ip_address_activity.json,"{'used_ip_address_v2': [{'ip': 'string', 'action': 'string', 'timestamp': 'number', 'user_agent': 'string'}]}",security_and_login_information,,,,ip_address_activity.json,used_ip_address_v2,timestamp,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,number,"('used_ip_address_v2', 'timestamp')",,"[""used_ip_address_v2"", ""timestamp""]",timestamp,static,ip_address_activity,Yes
ip_address_activity:used_ip_address_v2:user_agent,security_and_login_information/ip_address_activity.json,"{'used_ip_address_v2': [{'ip': 'string', 'action': 'string', 'timestamp': 'number', 'user_agent': 'string'}]}",security_and_login_information,,,,ip_address_activity.json,used_ip_address_v2,user_agent,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('used_ip_address_v2', 'user_agent')",,"[""used_ip_address_v2"", ""user_agent""]",user_agent,static,ip_address_activity,Yes
two-factor_authentication:media,security_and_login_information/two-factor_authentication.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",security_and_login_information,,,,two-factor_authentication.json,media,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,array,"('media',)",,"[""media""]",media,skip,two-factor_authentication,Yes
two-factor_authentication:label_values:label,security_and_login_information/two-factor_authentication.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",security_and_login_information,,,,two-factor_authentication.json,label_values,label,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'label')",,"[""label_values"", ""label""]",label,static,two-factor_authentication,Yes
two-factor_authentication:label_values:value,security_and_login_information/two-factor_authentication.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",security_and_login_information,,,,two-factor_authentication.json,label_values,value,LIST,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('label_values', 'value')",,"[""label_values"", ""value""]",value,static,two-factor_authentication,Yes
two-factor_authentication:fbid,security_and_login_information/two-factor_authentication.json,"{'media': 'array', 'label_values': [{'label': 'string', 'value': 'string'}], 'fbid': 'string'}",security_and_login_information,,,,two-factor_authentication.json,fbid,,NO LIST,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,,MISSING,string,"('fbid',)",,"[""fbid""]",fbid,skip,two-factor_authentication,Yes
your_facebook_activity_history:last_activity_v2:site-ul web:activity_by_day,security_and_login_information/your_facebook_activity_history.json,"{'last_activity_v2': {'last_activity_time': {'site-ul web': {'activity_by_day': ['number']}, 'AplicaÅ£ie Facebook': {'activity_by_day': ['number']}, 'iPhone': {'activity_by_day': ['number']}}}}",security_and_login_information,,,,your_facebook_activity_history.json,last_activity_v2,last_activity_time,NO LIST,site-ul web,NO LIST,activity_by_day,NO LIST,,LIST,,MISSING,,MISSING,,MISSING,,MISSING,number,"('last_activity_v2', 'last_activity_time', 'site-ul web', 'activity_by_day')",,"[""last_activity_v2"", ""last_activity_time"", ""site-ul web"", ""activity_by_day""]",activity_by_day,static,your_facebook_activity_history,No
your_facebook_activity_history:last_activity_v2:AplicaÅ£ie Facebook:activity_by_day,security_and_login_information/your_facebook_activity_history.json,"{'last_activity_v2': {'last_activity_time': {'site-ul web': {'activity_by_day': ['number']}, 'AplicaÅ£ie Facebook': {'activity_by_day': ['number']}, 'iPhone': {'activity_by_day': ['number']}}}}",security_and_login_information,,,,your_facebook_activity_history.json,last_activity_v2,last_activity_time,NO LIST,AplicaÅ£ie Facebook,NO LIST,activity_by_day,NO LIST,,LIST,,MISSING,,MISSING,,MISSING,,MISSING,number,"('last_activity_v2', 'last_activity_time', 'AplicaÅ£ie Facebook', 'activity_by_day')",,"[""last_activity_v2"", ""last_activity_time"", ""Aplica\u00c5\u00a3ie Facebook"", ""activity_by_day""]",activity_by_day,static,your_facebook_activity_history,No
