column_name,path,list_path,subfield_path,var_type,data_type
Date,"['Activity', 'Search History', 'SearchList', 'Date']",,"['Activity', 'Search History', 'SearchList', 'Date']",static,string
SearchTerm,"['Activity', 'Search History', 'SearchList', 'SearchTerm']",,"['Activity', 'Search History', 'SearchList', 'SearchTerm']",static,string
Date,"['Activity', 'Share History', 'ShareHistoryList', 'Date']",,"['Activity', 'Share History', 'ShareHistoryList', 'Date']",static,string
SharedContent,"['Activity', 'Share History', 'ShareHistoryList', 'SharedContent']",,"['Activity', 'Share History', 'ShareHistoryList', 'SharedContent']",static,string
Link,"['Activity', 'Share History', 'ShareHistoryList', 'Link']",,"['Activity', 'Share History', 'ShareHistoryList', 'Link']",static,string
Method,"['Activity', 'Share History', 'ShareHistoryList', 'Method']",,"['Activity', 'Share History', 'ShareHistoryList', 'Method']",static,string
Resolution,"['Activity', 'Status', 'Status List', 'Resolution']",,"['Activity', 'Status', 'Status List', 'Resolution']",static,string
App Version,"['Activity', 'Status', 'Status List', 'App Version']",,"['Activity', 'Status', 'Status List', 'App Version']",static,string
IDFA,"['Activity', 'Status', 'Status List', 'IDFA']",,"['Activity', 'Status', 'Status List', 'IDFA']",static,string
GAID,"['Activity', 'Status', 'Status List', 'GAID']",,"['Activity', 'Status', 'Status List', 'GAID']",static,string
Android ID,"['Activity', 'Status', 'Status List', 'Android ID']",,"['Activity', 'Status', 'Status List', 'Android ID']",static,string
IDFV,"['Activity', 'Status', 'Status List', 'IDFV']",,"['Activity', 'Status', 'Status List', 'IDFV']",static,string
Web ID,"['Activity', 'Status', 'Status List', 'Web ID']",,"['Activity', 'Status', 'Status List', 'Web ID']",static,string
Date,"['Activity', 'Video Browsing History', 'VideoList', 'Date']",,"['Activity', 'Video Browsing History', 'VideoList', 'Date']",static,string
Link,"['Activity', 'Video Browsing History', 'VideoList', 'Link']",,"['Activity', 'Video Browsing History', 'VideoList', 'Link']",static,string
Allow DownLoad,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow DownLoad']",skip,string
Allow Others to Find Me,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",,"['App Settings', 'Settings', 'SettingsMap', 'Allow Others to Find Me']",skip,string
App Language,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",,"['App Settings', 'Settings', 'SettingsMap', 'App Language']",skip,string
Filter Comments,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",,"['App Settings', 'Settings', 'SettingsMap', 'Filter Comments']",skip,string
Interests,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",,"['App Settings', 'Settings', 'SettingsMap', 'Interests']",skip,string
Private Account,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",,"['App Settings', 'Settings', 'SettingsMap', 'Private Account']",skip,string
Suggest your account to Facebook friends,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",skip,string
Suggest your account to contacts,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to contacts']",skip,string
Suggest your account to people who open or send links to you,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",,"['App Settings', 'Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",skip,string
Web Language,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",,"['App Settings', 'Settings', 'SettingsMap', 'Web Language']",skip,string
Who Can Duet With Me,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Duet With Me']",skip,string
Who Can Post Comments,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Post Comments']",skip,string
