column_name,path,list_path,subfield_path,var_type,data_type
Who Can Stitch with your videos,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can Stitch with your videos']",static,string
Who Can View Videos I Liked,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",,"['App Settings', 'Settings', 'SettingsMap', 'Who Can View Videos I Liked']",static,string
bioDescription,"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",,"['Profile', 'Profile Information', 'ProfileMap', 'bioDescription']",static,string
birthDate,"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",,"['Profile', 'Profile Information', 'ProfileMap', 'birthDate']",static,string
emailAddress,"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",,"['Profile', 'Profile Information', 'ProfileMap', 'emailAddress']",static,string
likesReceived,"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",,"['Profile', 'Profile Information', 'ProfileMap', 'likesReceived']",static,string
profilePhoto,"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",,"['Profile', 'Profile Information', 'ProfileMap', 'profilePhoto']",static,string
profileVideo,"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",,"['Profile', 'Profile Information', 'ProfileMap', 'profileVideo']",static,string
telephoneNumber,"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",,"['Profile', 'Profile Information', 'ProfileMap', 'telephoneNumber']",static,string
userName,"['Profile', 'Profile Information', 'ProfileMap', 'userName']",,"['Profile', 'Profile Information', 'ProfileMap', 'userName']",static,string
Allow agencies to find and invite you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",static,string
Allow others to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",static,string
Allow people to send and receive comments during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",static,string
Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",static,string
Allow viewers to request to go LIVE with you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",static,string
Allow viewers to see and send questions and answers in your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",static,string
Allow viewers to send you gifts during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",static,string
Hide potential spam or offensive comments from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",static,string
Show your username and gift information in features with ranking lists,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",static,string
app,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",static,string
web,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",static,string
Desktop notification,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",static,string
