column_name,path,list_path,subfield_path,var_type,data_type
followerCount,"['Profile', 'Profile Info', 'ProfileMap', 'followerCount']",[],"['Profile', 'Profile Info', 'ProfileMap', 'followerCount']",static,number
followingCount,"['Profile', 'Profile Info', 'ProfileMap', 'followingCount']",[],"['Profile', 'Profile Info', 'ProfileMap', 'followingCount']",static,number
inferredGender,"['Profile', 'Profile Info', 'ProfileMap', 'inferredGender']",[],"['Profile', 'Profile Info', 'ProfileMap', 'inferredGender']",static,string
instagramLink,"['Profile', 'Profile Info', 'ProfileMap', 'instagramLink']",[],"['Profile', 'Profile Info', 'ProfileMap', 'instagramLink']",static,string
lemon8Link,"['Profile', 'Profile Info', 'ProfileMap', 'lemon8Link']",[],"['Profile', 'Profile Info', 'ProfileMap', 'lemon8Link']",static,string
likesReceived,"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",[],"['Profile', 'Profile Info', 'ProfileMap', 'likesReceived']",static,string
profilePhoto,"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",[],"['Profile', 'Profile Info', 'ProfileMap', 'profilePhoto']",static,string
profileVideo,"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",[],"['Profile', 'Profile Info', 'ProfileMap', 'profileVideo']",static,string
telephoneNumber,"['Profile', 'Profile Info', 'ProfileMap', 'telephoneNumber']",[],"['Profile', 'Profile Info', 'ProfileMap', 'telephoneNumber']",static,string
userName,"['Profile', 'Profile Info', 'ProfileMap', 'userName']",[],"['Profile', 'Profile Info', 'ProfileMap', 'userName']",static,string
youtubeLink,"['Profile', 'Profile Info', 'ProfileMap', 'youtubeLink']",[],"['Profile', 'Profile Info', 'ProfileMap', 'youtubeLink']",static,string
Allow agencies to find and invite you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow agencies to find and invite you']",static,string
Allow others to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow others to invite you to co-host in LIVE']",static,string
Allow people to send and receive comments during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow people to send and receive comments during your LIVE']",static,string
Allow suggested LIVE hosts to invite you to co-host in LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow suggested LIVE hosts to invite you to co-host in LIVE']",static,string
Allow viewers to request to go LIVE with you,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to request to go LIVE with you']",static,string
Allow viewers to see and send questions and answers in your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to see and send questions and answers in your LIVE']",static,string
Allow viewers to send you gifts during your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Allow viewers to send you gifts during your LIVE']",static,string
Hide potential spam or offensive comments from your LIVE,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Hide potential spam or offensive comments from your LIVE']",static,string
Show your username and gift information in features with ranking lists,"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",[],"['Tiktok Live', 'Go Live Settings', 'SettingsMap', 'Show your username and gift information in features with ranking lists']",static,string
app,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",[],"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'app']",static,string
web,"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",[],"['Tiktok Live', 'Watch Live Settings', 'WatchLiveSettingsMap', 'web']",static,string
note,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",[],"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'note']",static,string
videosCommentedOnSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",[],"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosCommentedOnSinceAccountRegistration']",static,number
videosSharedSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",[],"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosSharedSinceAccountRegistration']",static,number
videosWatchedToTheEndSinceAccountRegistration,"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",[],"['Your Activity', 'Activity Summary', 'ActivitySummaryMap', 'videosWatchedToTheEndSinceAccountRegistration']",static,number
Date,"['Your Activity', 'Most Recent Location Data', 'LocationData', 'Date']",[],"['Your Activity', 'Most Recent Location Data', 'LocationData', 'Date']",static,string
GpsData,"['Your Activity', 'Most Recent Location Data', 'LocationData', 'GpsData']",[],"['Your Activity', 'Most Recent Location Data', 'LocationData', 'GpsData']",static,string
LastRegion,"['Your Activity', 'Most Recent Location Data', 'LocationData', 'LastRegion']",[],"['Your Activity', 'Most Recent Location Data', 'LocationData', 'LastRegion']",static,string
Desktop notification,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'Desktop notification']",static,string
New Comments on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Comments on My Video']",static,string
New Fans,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Fans']",static,string
New Likes on My Video,"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",[],"['App Settings', 'Settings', 'SettingsMap', 'Push Notification', 'New Likes on My Video']",static,string
order_date,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_date']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_date']",static,string
order_number,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_number']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_number']",static,string
total_price,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'total_price']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'total_price']",static,string
customer_note,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'customer_note']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'customer_note']",static,string
order_status,"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_status']",[],"['TikTok Shop', 'Order History', 'OrderHistories', '$NUMBER', 'order_status']",static,string
