variable,value,path_1,path_2,path_3,path_4,json_name,row_path,col_path_1,col_path_1_LIST,col_path_2,col_path_2_LIST,col_path_3,col_path_3_LIST,col_path_4,col_path_4_LIST,col_path_5,col_path_5_LIST,col_path_6,col_path_6_LIST,col_path_7,col_path_7_LIST,col_path_8,col_path_8_LIST,data_type
data/sso.js,No data,data,sso.js,Missing,Missing,sso.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/verified.js,"{'verified': {'accountId': 'string', 'verified': 'boolean'}}",data,verified.js,Missing,Missing,verified.js,verified,accountId,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,string
data/verified.js,"{'verified': {'accountId': 'string', 'verified': 'boolean'}}",data,verified.js,Missing,Missing,verified.js,verified,verified,NO LIST,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,boolean
data/smartblock.js,No data,data,smartblock.js,Missing,Missing,smartblock.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/periscope-profile-description.js,No data,data,periscope-profile-description.js,Missing,Missing,periscope-profile-description.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/spaces-metadata.js,No data,data,spaces-metadata.js,Missing,Missing,spaces-metadata.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/periscope-expired-broadcasts.js,No data,data,periscope-expired-broadcasts.js,Missing,Missing,periscope-expired-broadcasts.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/verified-organization.js,{'verifiedOrganization': {}},data,verified-organization.js,Missing,Missing,verified-organization.js,verifiedOrganization,Missing,NO LIST,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/saved-search.js,No data,data,saved-search.js,Missing,Missing,saved-search.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
data/reply-prompt.js,No data,data,reply-prompt.js,Missing,Missing,reply-prompt.js,No data,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,Missing,MISSING,
