json_name,column_name,path,list_path,subfield_path,var_type,data_type
verified.js,accountId,"['verified', 'accountId']",nan,"[""verified"", ""accountId""]",static,string
verified.js,verified,"['verified', 'verified']",nan,"[""verified"", ""verified""]",static,boolean
profile.js,avatarMediaUrl,"['profile', 'avatarMediaUrl']",nan,"[""profile"", ""avatarMediaUrl""]",static,string
tweet-headers.js,tweet_id,"['tweet', 'tweet_id']",nan,"[""tweet"", ""tweet_id""]",static,string
tweet-headers.js,user_id,"['tweet', 'user_id']",nan,"[""tweet"", ""user_id""]",static,string
tweet-headers.js,created_at,"['tweet', 'created_at']",nan,"[""tweet"", ""created_at""]",static,string
personalization.js,locationHistory,"['p13nData', 'locationHistory']",nan,"[""p13nData"", ""locationHistory""]",static,array
tweets.js,retweeted,"['tweet', 'retweeted']",nan,"[""tweet"", ""retweeted""]",static,boolean
tweets.js,source,"['tweet', 'source']",nan,"[""tweet"", ""source""]",static,string
tweets.js,display_text_range,"['tweet', 'display_text_range']",nan,"[""tweet"", ""display_text_range""]",static,string
tweets.js,favorite_count,"['tweet', 'favorite_count']",nan,"[""tweet"", ""favorite_count""]",static,string
tweets.js,id_str,"['tweet', 'id_str']",nan,"[""tweet"", ""id_str""]",static,string
tweets.js,truncated,"['tweet', 'truncated']",nan,"[""tweet"", ""truncated""]",static,boolean
tweets.js,retweet_count,"['tweet', 'retweet_count']",nan,"[""tweet"", ""retweet_count""]",static,string
tweets.js,id,"['tweet', 'id']",nan,"[""tweet"", ""id""]",static,string
tweets.js,created_at,"['tweet', 'created_at']",nan,"[""tweet"", ""created_at""]",static,string
tweets.js,favorited,"['tweet', 'favorited']",nan,"[""tweet"", ""favorited""]",static,boolean
tweets.js,full_text,"['tweet', 'full_text']",nan,"[""tweet"", ""full_text""]",static,string
tweets.js,lang,"['tweet', 'lang']",nan,"[""tweet"", ""lang""]",static,string
screen-name-change.js,accountId,"['screenNameChange', 'accountId']",nan,"[""screenNameChange"", ""accountId""]",static,string
email-address-change.js,accountId,"['emailAddressChange', 'accountId']",nan,"[""emailAddressChange"", ""accountId""]",static,string
ads-revenue-sharing.js,payoutHistory,"['adsRevenueSharing', 'payoutHistory']",nan,"[""adsRevenueSharing"", ""payoutHistory""]",static,array
manifest.js,accountId,"['userInfo', 'accountId']",nan,"[""userInfo"", ""accountId""]",static,string
manifest.js,userName,"['userInfo', 'userName']",nan,"[""userInfo"", ""userName""]",static,string
manifest.js,displayName,"['userInfo', 'displayName']",nan,"[""userInfo"", ""displayName""]",static,string
manifest.js,sizeBytes,"['archiveInfo', 'sizeBytes']",nan,"[""archiveInfo"", ""sizeBytes""]",static,string
manifest.js,generationDate,"['archiveInfo', 'generationDate']",nan,"[""archiveInfo"", ""generationDate""]",static,string
manifest.js,isPartialArchive,"['archiveInfo', 'isPartialArchive']",nan,"[""archiveInfo"", ""isPartialArchive""]",static,boolean
manifest.js,maxPartSizeBytes,"['archiveInfo', 'maxPartSizeBytes']",nan,"[""archiveInfo"", ""maxPartSizeBytes""]",static,string
manifest.js,fileName,"['readmeInfo', 'fileName']",nan,"[""readmeInfo"", ""fileName""]",static,string
manifest.js,directory,"['readmeInfo', 'directory']",nan,"[""readmeInfo"", ""directory""]",static,string
manifest.js,name,"['readmeInfo', 'name']",nan,"[""readmeInfo"", ""name""]",static,string
account-creation-ip.js,accountId,"['accountCreationIp', 'accountId']",nan,"[""accountCreationIp"", ""accountId""]",static,string
account-creation-ip.js,userCreationIp,"['accountCreationIp', 'userCreationIp']",nan,"[""accountCreationIp"", ""userCreationIp""]",static,string
account.js,email,"['account', 'email']",nan,"[""account"", ""email""]",static,string
account.js,createdVia,"['account', 'createdVia']",nan,"[""account"", ""createdVia""]",static,string
account.js,username,"['account', 'username']",nan,"[""account"", ""username""]",static,string
account.js,accountId,"['account', 'accountId']",nan,"[""account"", ""accountId""]",static,string
account.js,createdAt,"['account', 'createdAt']",nan,"[""account"", ""createdAt""]",static,string
account.js,accountDisplayName,"['account', 'accountDisplayName']",nan,"[""account"", ""accountDisplayName""]",static,string
device-token.js,clientApplicationId,"['deviceToken', 'clientApplicationId']",nan,"[""deviceToken"", ""clientApplicationId""]",static,string
device-token.js,token,"['deviceToken', 'token']",nan,"[""deviceToken"", ""token""]",static,string
device-token.js,createdAt,"['deviceToken', 'createdAt']",nan,"[""deviceToken"", ""createdAt""]",static,string
device-token.js,lastSeenAt,"['deviceToken', 'lastSeenAt']",nan,"[""deviceToken"", ""lastSeenAt""]",static,string
device-token.js,clientApplicationName,"['deviceToken', 'clientApplicationName']",nan,"[""deviceToken"", ""clientApplicationName""]",static,string
account-timezone.js,accountId,"['accountTimezone', 'accountId']",nan,"[""accountTimezone"", ""accountId""]",static,string
key-registry.js,userId,"['keyRegistryData', 'userId']",nan,"[""keyRegistryData"", ""userId""]",static,string
following.js,accountId,"['following', 'accountId']",nan,"[""following"", ""accountId""]",static,string
following.js,userLink,"['following', 'userLink']",nan,"[""following"", ""userLink""]",static,string
ip-audit.js,accountId,"['ipAudit', 'accountId']",nan,"[""ipAudit"", ""accountId""]",static,string
ip-audit.js,createdAt,"['ipAudit', 'createdAt']",nan,"[""ipAudit"", ""createdAt""]",static,string
ip-audit.js,loginIp,"['ipAudit', 'loginIp']",nan,"[""ipAudit"", ""loginIp""]",static,string
ip-audit.js,loginPortNumber,"['ipAudit', 'loginPortNumber']",nan,"[""ipAudit"", ""loginPortNumber""]",static,string
like.js,tweetId,"['like', 'tweetId']",nan,"[""like"", ""tweetId""]",static,string
like.js,fullText,"['like', 'fullText']",nan,"[""like"", ""fullText""]",static,string
like.js,expandedUrl,"['like', 'expandedUrl']",nan,"[""like"", ""expandedUrl""]",static,string
follower.js,accountId,"['follower', 'accountId']",nan,"[""follower"", ""accountId""]",static,string
follower.js,userLink,"['follower', 'userLink']",nan,"[""follower"", ""userLink""]",static,string
profile.js,bio,"['profile', 'description', 'bio']",nan,"[""profile"", ""description"", ""bio""]",static,string
profile.js,website,"['profile', 'description', 'website']",nan,"[""profile"", ""description"", ""website""]",static,string
profile.js,location,"['profile', 'description', 'location']",nan,"[""profile"", ""description"", ""location""]",static,string
