id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag,keepID,date_added,file_path
Tiktok Live:Watch Live History:WatchLiveMap:7512356417656933142:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7512356417656933142"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7512356417656933142"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7512356417656933142:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7517330524805810966:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517330524805810966"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517330524805810966"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517330524805810966:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7517330524805810966:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517330524805810966"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517330524805810966"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517330524805810966:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7517351433877490454:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517351433877490454"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517351433877490454"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517351433877490454:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7517351433877490454:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517351433877490454"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517351433877490454"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517351433877490454:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7517648865860848406:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517648865860848406"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517648865860848406"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517648865860848406:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7517648865860848406:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517648865860848406"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517648865860848406"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517648865860848406:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7517660532373900054:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517660532373900054"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517660532373900054"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517660532373900054:WatchTime,,
Tiktok Live:Watch Live History:WatchLiveMap:7517660532373900054:Link,Link,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517660532373900054"", ""Link""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7517660532373900054"", ""Link""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7517660532373900054:Link,,
Tiktok Live:Watch Live History:WatchLiveMap:7520289046615182102:WatchTime,WatchTime,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520289046615182102"", ""WatchTime""]",,"[""Tiktok Live"", ""Watch Live History"", ""WatchLiveMap"", ""7520289046615182102"", ""WatchTime""]",static,string,,No,Tiktok Live:Watch Live History:WatchLiveMap:7520289046615182102:WatchTime,,
