json_name,id,column_name,path,list_path,subfield_path,var_type,data_type,file_path,duplicate_flag,date_added,keepID
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:user_agent,user_agent,"[""active_sessions_v2"", ""user_agent""]","[""active_sessions_v2""]","[""user_agent""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:datr_cookie,datr_cookie,"[""active_sessions_v2"", ""datr_cookie""]","[""active_sessions_v2""]","[""datr_cookie""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:device,device,"[""active_sessions_v2"", ""device""]","[""active_sessions_v2""]","[""device""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:location,location,"[""active_sessions_v2"", ""location""]","[""active_sessions_v2""]","[""location""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:app,app,"[""active_sessions_v2"", ""app""]","[""active_sessions_v2""]","[""app""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
where_you're_logged_in.json,profile_information:security_and_login_information:where_you're_logged_in:active_sessions_v2:session_type,session_type,"[""active_sessions_v2"", ""session_type""]","[""active_sessions_v2""]","[""session_type""]",list,string,personal_information/profile_information/security_and_login_information/where_you're_logged_in.json,No,pre-trial,
login_protection_data.json,profile_information:security_and_login_information:login_protection_data:login_protection_data_v2:name,name,"[""login_protection_data_v2"", ""name""]","[""login_protection_data_v2""]","[""name""]",list,string,personal_information/profile_information/security_and_login_information/login_protection_data.json,No,pre-trial,
your_language_translation_settings.json,preferences:your_language_translation_settings:label,label,"[""label_values"", ""label""]","[""label_values""]","[""label""]",list,string,personal_information/profile_information/preferences/preferences/your_language_translation_settings.json,No,pre-trial,
your_language_translation_settings.json,preferences:your_language_translation_settings:value,value,"[""label_values"", ""value""]","[""label_values""]","[""value""]",list,string,personal_information/profile_information/preferences/preferences/your_language_translation_settings.json,No,pre-trial,
interactions_with_marketplace_ads.json,preferences:interactions_with_marketplace_ads:label,label,"[""label_values"", ""label""]","[""label_values""]","[""label""]",list,string,personal_information/profile_information/preferences/preferences/interactions_with_marketplace_ads.json,No,pre-trial,
