id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,duplicate_flag
Most Recent Location Data:LastRegion,LastRegion,"['Most Recent Location Data', 'LocationData', 'LastRegion']",,"[""Most Recent Location Data"", ""LocationData"", ""LastRegion""]",static,string,,No
Search History:Date,Date,"['Search History', 'SearchList', 'Date']","[""Search History"", ""SearchList""]","""Date""",list,string,,No
Search History:SearchTerm,SearchTerm,"['Search History', 'SearchList', 'SearchTerm']","[""Search History"", ""SearchList""]","""SearchTerm""",list,string,,No
Share History:Date,Date,"['Share History', 'ShareHistoryList', 'Date']","[""Share History"", ""ShareHistoryList""]","""Date""",list,string,,No
Share History:SharedContent,SharedContent,"['Share History', 'ShareHistoryList', 'SharedContent']","[""Share History"", ""ShareHistoryList""]","""SharedContent""",list,string,,No
Share History:Link,Link,"['Share History', 'ShareHistoryList', 'Link']","[""Share History"", ""ShareHistoryList""]","""Link""",list,string,,No
Share History:Method,Method,"['Share History', 'ShareHistoryList', 'Method']","[""Share History"", ""ShareHistoryList""]","""Method""",list,string,,No
Status:Resolution,Resolution,"['Status', 'Status List', 'Resolution']","[""Status"", ""Status List""]","""Resolution""",list,string,,No
Status:App Version,App Version,"['Status', 'Status List', 'App Version']","[""Status"", ""Status List""]","""App Version""",list,string,,No
Status:IDFA,IDFA,"['Status', 'Status List', 'IDFA']","[""Status"", ""Status List""]","""IDFA""",list,string,,No
Status:GAID,GAID,"['Status', 'Status List', 'GAID']","[""Status"", ""Status List""]","""GAID""",list,string,,No
Status:Android ID,Android ID,"['Status', 'Status List', 'Android ID']","[""Status"", ""Status List""]","""Android ID""",list,string,,No
Status:IDFV,IDFV,"['Status', 'Status List', 'IDFV']","[""Status"", ""Status List""]","""IDFV""",list,string,,No
Status:Web ID,Web ID,"['Status', 'Status List', 'Web ID']","[""Status"", ""Status List""]","""Web ID""",list,string,,No
Video Browsing History:Date,Date,"['Video Browsing History', 'VideoList', 'Date']","[""Video Browsing History"", ""VideoList""]","""Date""",list,string,,No
Video Browsing History:Link,Link,"['Video Browsing History', 'VideoList', 'Link']","[""Video Browsing History"", ""VideoList""]","""Link""",list,string,,No
Block:Date,Date,"['Block', 'BlockList', 'Date']","[""Block"", ""BlockList""]","""Date""",list,string,,No
Block:UserName,UserName,"['Block', 'BlockList', 'UserName']","[""Block"", ""BlockList""]","""UserName""",list,string,,No
Settings:Allow DownLoad,Allow DownLoad,"['Settings', 'SettingsMap', 'Allow DownLoad']",,"[""Settings"", ""SettingsMap"", ""Allow DownLoad""]",static,string,,No
Settings:Allow Others to Find Me,Allow Others to Find Me,"['Settings', 'SettingsMap', 'Allow Others to Find Me']",,"[""Settings"", ""SettingsMap"", ""Allow Others to Find Me""]",static,string,,No
Settings:App Language,App Language,"['Settings', 'SettingsMap', 'App Language']",,"[""Settings"", ""SettingsMap"", ""App Language""]",static,string,,No
Settings:Filter Comments,Filter Comments,"['Settings', 'SettingsMap', 'Filter Comments']",,"[""Settings"", ""SettingsMap"", ""Filter Comments""]",static,string,,No
Settings:Interests,Interests,"['Settings', 'SettingsMap', 'Interests']",,"[""Settings"", ""SettingsMap"", ""Interests""]",static,string,,No
Settings:Private Account,Private Account,"['Settings', 'SettingsMap', 'Private Account']",,"[""Settings"", ""SettingsMap"", ""Private Account""]",static,string,,No
Settings:Suggest your account to Facebook friends,Suggest your account to Facebook friends,"['Settings', 'SettingsMap', 'Suggest your account to Facebook friends']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to Facebook friends""]",static,string,,No
Settings:Suggest your account to contacts,Suggest your account to contacts,"['Settings', 'SettingsMap', 'Suggest your account to contacts']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",static,string,,No
Settings:Suggest your account to people who open or send links to you,Suggest your account to people who open or send links to you,"['Settings', 'SettingsMap', 'Suggest your account to people who open or send links to you']",,"[""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",static,string,,No
Settings:Web Language,Web Language,"['Settings', 'SettingsMap', 'Web Language']",,"[""Settings"", ""SettingsMap"", ""Web Language""]",static,string,,No
Settings:Who Can Duet With Me,Who Can Duet With Me,"['Settings', 'SettingsMap', 'Who Can Duet With Me']",,"[""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",static,string,,No
Settings:Who Can Post Comments,Who Can Post Comments,"['Settings', 'SettingsMap', 'Who Can Post Comments']",,"[""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",static,string,,No
Settings:Who Can Send Me Message,Who Can Send Me Message,"['Settings', 'SettingsMap', 'Who Can Send Me Message']",,"[""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",static,string,,No
Settings:Who Can Stitch with your videos,Who Can Stitch with your videos,"['Settings', 'SettingsMap', 'Who Can Stitch with your videos']",,"[""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",static,string,,No
Settings:Who Can View Videos I Liked,Who Can View Videos I Liked,"['Settings', 'SettingsMap', 'Who Can View Videos I Liked']",,"[""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",static,string,,No
Comments:date,date,"['Comments', 'CommentsList', 'date']","[""Comments"", ""CommentsList""]","""date""",list,string,,No
Comments:comment,comment,"['Comments', 'CommentsList', 'comment']","[""Comments"", ""CommentsList""]","""comment""",list,string,,No
Comments:photo,photo,"['Comments', 'CommentsList', 'photo']","[""Comments"", ""CommentsList""]","""photo""",list,string,,No
Comments:url,url,"['Comments', 'CommentsList', 'url']","[""Comments"", ""CommentsList""]","""url""",list,string,,No
POI Review:PlaceName,PlaceName,"['POI Review', 'ReviewsList', 'PlaceName']","[""POI Review"", ""ReviewsList""]","""PlaceName""",list,string,,No
POI Review:Date,Date,"['POI Review', 'ReviewsList', 'Date']","[""POI Review"", ""ReviewsList""]","""Date""",list,string,,No
POI Review:Rating,Rating,"['POI Review', 'ReviewsList', 'Rating']","[""POI Review"", ""ReviewsList""]","""Rating""",list,string,,No
POI Review:Status,Status,"['POI Review', 'ReviewsList', 'Status']","[""POI Review"", ""ReviewsList""]","""Status""",list,string,,No
