id,column_name,path,list_path,subfield_path,var_type,data_type,json_name,file_path,duplicate_flag
App Settings:Settings:SettingsMap:Suggest your account to contacts,Suggest your account to contacts,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to contacts""]",static,string,,,No
App Settings:Settings:SettingsMap:Suggest your account to people who open or send links to you,Suggest your account to people who open or send links to you,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Suggest your account to people who open or send links to you""]",static,string,,,No
App Settings:Settings:SettingsMap:Web Language,Web Language,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Web Language""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Web Language""]",static,string,,,No
App Settings:Settings:SettingsMap:Who Can Duet With Me,Who Can Duet With Me,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Duet With Me""]",static,string,,,No
App Settings:Settings:SettingsMap:Who Can Post Comments,Who Can Post Comments,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Post Comments""]",static,string,,,No
App Settings:Settings:SettingsMap:Who Can Send Me Message,Who Can Send Me Message,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Send Me Message""]",static,string,,,No
App Settings:Settings:SettingsMap:Who Can Stitch with your videos,Who Can Stitch with your videos,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can Stitch with your videos""]",static,string,,,No
App Settings:Settings:SettingsMap:Who Can View Videos I Liked,Who Can View Videos I Liked,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",nan,"[""App Settings"", ""Settings"", ""SettingsMap"", ""Who Can View Videos I Liked""]",static,string,,,No
Profile:Profile Info:ProfileMap:aiSelf,aiSelf,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""aiSelf""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""aiSelf""]",static,string,,,No
Profile:Profile Info:ProfileMap:bioDescription,bioDescription,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""bioDescription""]",nan,"[""Profile"", ""Profile Info"", ""ProfileMap"", ""bioDescription""]",static,string,,,No
